"Story","Title","Result","Date","Stability","Duration (s)"
"Registrar un producto en página web de Sport10","Registrar un nuevo producto correctamente","SUCCESS","2025-11-13T11:17:18.6986855-05:00[America/Bogota]","0.0","36.09"
"Editar proveedor existente","Editar un proveedor exitosamente","SUCCESS","2025-11-13T11:20:13.969851-05:00[America/Bogota]","0.0","17.98"
"Eliminar proveedor","Eliminar proveedor exitosamente","SUCCESS","2025-11-13T11:20:41.702697-05:00[America/Bogota]","0.0","16.84"
"Registrar un nuevo proveedor","Registrar un proveedor exitosamente","SUCCESS","2025-11-13T11:19:39.595189-05:00[America/Bogota]","0.0","22.66"
"Editar un usuario en pagina web de Sport10","Verificar la modificacion exitosa de datos de un usuario","SUCCESS","2025-11-13T11:24:26.0689182-05:00[America/Bogota]","0.0","33.48"
"Eliminar un usuario en pagina web de Sport10","Verificar que se elimina el usuario","SUCCESS","2025-11-13T11:23:51.9300458-05:00[America/Bogota]","0.0","19.03"
"Loguearse en la pagina Sport10","Validar el inicio de sesion exitoso","SUCCESS","2025-11-13T11:21:16.5609955-05:00[America/Bogota]","0.0","11.19"
"Registrar un usuario en pagina web de Sport10","Verificar el registro exitoso de un nuevo usuario","SUCCESS","2025-11-13T11:22:23.5146958-05:00[America/Bogota]","0.0","67.77"
