"Story","Title","Result","Date","Stability","Duration (s)"
"Editar un usuario en pagina web de Sport10","Verificar la modificacion exitosa de datos de un usuario","SUCCESS","2025-12-05T13:05:55.896011-05:00[America/Bogota]","0.0","23.22"
"Eliminar un usuario en pagina web de Sport10","Verificar que se elimina el usuario","SUCCESS","2025-12-05T13:06:20.9918025-05:00[America/Bogota]","0.0","12.47"
"Registrar un usuario en pagina web de Sport10","Verificar el registro exitoso de un nuevo usuario","SUCCESS","2025-12-05T13:05:07.1715361-05:00[America/Bogota]","0.0","46.24"
